{'gain': 0.7614277362823487, 'ugbw': 0.7237766265869141, 'pm': 0.6321819186210633, 'tset': 0.75474956035614, 'psrr': 0.5874496221542358, 'cmrr': 0.3277489900588989, 'offset_sys': 0.7548071503639221, 'ibias': 0.4341393172740936, 'total_acc': 0.9507772020725389, 'a1': 0.12903225806451613, 'a2': 0.20253164556962025, 'a3': 0.9811940298507462, 'a4': 0.9681885125184094, 'tt': 16, 'ff': 3287, 'tf': 108, 'ft': 63}
{'gain': 0.7439263105392456, 'ugbw': 0.716522741317749, 'pm': 0.6125503659248352, 'tset': 0.7641335487365724, 'psrr': 0.5770293474197388, 'cmrr': 0.330915367603302, 'offset_sys': 0.7489925146102905, 'ibias': 0.4221070826053619, 'total_acc': 0.9484743811168682, 'a1': 0.18548387096774194, 'a2': 0.22772277227722773, 'a3': 0.9767164179104477, 'a4': 0.9700563296768455, 'tt': 23, 'ff': 3272, 'tf': 101, 'ft': 78}
{'gain': 0.752504324913025, 'ugbw': 0.6911341428756714, 'pm': 0.6089234471321107, 'tset': 0.7770293593406677, 'psrr': 0.5747265458106995, 'cmrr': 0.3240644812583923, 'offset_sys': 0.7506044983863831, 'ibias': 0.48687391281127934, 'total_acc': 0.9467472654001151, 'a1': 0.13709677419354838, 'a2': 0.17894736842105263, 'a3': 0.9767164179104477, 'a4': 0.96833382657591, 'tt': 17, 'ff': 3272, 'tf': 107, 'ft': 78}
{'gain': 0.7372481346130371, 'ugbw': 0.6850316524505615, 'pm': 0.6572250962257385, 'tset': 0.7595279335975648, 'psrr': 0.5789291858673096, 'cmrr': 0.34801381826400757, 'offset_sys': 0.7508347749710084, 'ibias': 0.5203799724578858, 'total_acc': 0.9493379389752447, 'a1': 0.11290322580645161, 'a2': 0.175, 'a3': 0.9802985074626865, 'a4': 0.9675898644667059, 'tt': 14, 'ff': 3284, 'tf': 110, 'ft': 66}
{'gain': 0.7830742716789245, 'ugbw': 0.7242947697639466, 'pm': 0.6759931087493897, 'tset': 0.7711571693420409, 'psrr': 0.6029936671257019, 'cmrr': 0.32832469940185544, 'offset_sys': 0.7663788199424744, 'ibias': 0.5148532032966614, 'total_acc': 0.9447322970639033, 'a1': 0.11290322580645161, 'a2': 0.14583333333333334, 'a3': 0.9755223880597015, 'a4': 0.9674363528715216, 'tt': 14, 'ff': 3268, 'tf': 110, 'ft': 82}
{'gain': 0.7971214771270752, 'ugbw': 0.734081757068634, 'pm': 0.6716177344322205, 'tset': 0.7662061095237732, 'psrr': 0.6283822774887085, 'cmrr': 0.34242947697639464, 'offset_sys': 0.777432358264923, 'ibias': 0.5139320731163025, 'total_acc': 0.9493379389752447, 'a1': 0.12903225806451613, 'a2': 0.19047619047619047, 'a3': 0.9797014925373134, 'a4': 0.968141592920354, 'tt': 16, 'ff': 3282, 'tf': 108, 'ft': 68}
{'gain': 0.7582613587379455, 'ugbw': 0.7130109310150146, 'pm': 0.6158894538879395, 'tset': 0.7677029490470886, 'psrr': 0.6066781759262085, 'cmrr': 0.3348877429962158, 'offset_sys': 0.755613112449646, 'ibias': 0.5202072620391845, 'total_acc': 0.9510650546919976, 'a1': 0.21774193548387097, 'a2': 0.27, 'a3': 0.9782089552238806, 'a4': 0.9712507409602845, 'tt': 27, 'ff': 3277, 'tf': 97, 'ft': 73}
{'gain': 0.7416810750961302, 'ugbw': 0.690846300125122, 'pm': 0.5766839265823365, 'tset': 0.7672999262809754, 'psrr': 0.5981577515602112, 'cmrr': 0.33989638090133667, 'offset_sys': 0.7483592271804811, 'ibias': 0.5294761061668396, 'total_acc': 0.93811168681635, 'a1': 0.24193548387096775, 'a2': 0.1986754966887417, 'a3': 0.9638805970149253, 'a4': 0.9717123081552814, 'tt': 30, 'ff': 3229, 'tf': 94, 'ft': 121}
{'gain': 0.7420264840126038, 'ugbw': 0.6772596478462221, 'pm': 0.5682210803031921, 'tset': 0.7651698350906373, 'psrr': 0.591709840297699, 'cmrr': 0.33690270185470583, 'offset_sys': 0.7498560786247254, 'ibias': 0.5209556460380554, 'total_acc': 0.9372481289579735, 'a1': 0.22580645161290322, 'a2': 0.18666666666666668, 'a3': 0.9635820895522388, 'a4': 0.9711191335740073, 'tt': 28, 'ff': 3228, 'tf': 96, 'ft': 122}
{'gain': 0.7329879045486449, 'ugbw': 0.6910190105438232, 'pm': 0.5590098023414611, 'tset': 0.7586068034172058, 'psrr': 0.5861830830574035, 'cmrr': 0.34001151323318485, 'offset_sys': 0.7491652369499207, 'ibias': 0.5105354070663453, 'total_acc': 0.9294761082325849, 'a1': 0.1693548387096774, 'a2': 0.12883435582822086, 'a3': 0.9576119402985075, 'a4': 0.9688915735427364, 'tt': 21, 'ff': 3208, 'tf': 103, 'ft': 142}
